# Format: UserID|BookID|BorrowDate|ReturnDate|Fine
# This file will be automatically populated as users borrow and return books
HWMUT1VF|ABC123|1741204043|0|0.0
9XKKHGTD|ABC123|1741204043|0|0.0
I8DMOJD5|ABC123|1741204043|0|0.0
A1B2C3D4|PQR678|1741204043|0|0.0
E5F6G7H8|PQR678|1741204043|0|0.0
I9J0K1L2|PQR678|1741204043|0|0.0
M3N4O5P6|PQR678|1741204043|0|0.0
Q7R8S9T0|PQR678|1741204043|0|0.0A1B2C3D4|PQR678|1741204140|0|0.0
E5F6G7H8|PQR678|1741204140|0|0.0
I9J0K1L2|PQR678|1741204140|0|0.0
M3N4O5P6|PQR678|1741204140|0|0.0
Q7R8S9T0|PQR678|1741204140|0|0.0
HWMUT1VF|ABC123|1741204140|0|0.0
9XKKHGTD|ABC123|1741204140|0|0.0
I8DMOJD5|ABC123|1741204140|0|0.0
HWMUT1VF|DEF456|1741204581|0|0.0
9XKKHGTD|DEF456|1741204607|0|0.0
EBZ0CVSZ|DEF456|1741204626|0|0.0
9XKKHGTD|DEF456|1741204698|1741204698|0
